Region,Formation,Member,AgeEnd,AgeEarly,Supporting References,Notes,Other age details or opinions,Correlation,Other opinions on correlations
South Carolina,Ten Mile Hill beds,,0.2,0.25,McCartan et al (1990); Weems et al (1994); Andrus et al (2009),Deposited in a marsh environment near Charleston (Weems et al 1994); equivalent to unit Q3 of McCartan et al (1984) (McCartan et al 1990; Weems et al 1994).,,The unit may correlate with the Socastee Frm (Szabo 1985; McCartan et al 1990; Weems et al 1994).,
South Carolina,Ladson,,0.4,0.45,McCartan et al (1990),"Named by Malde (1959) in the Charleston area; may be equivalent to the Canepatch Frm of the Myrtle Beach area of DuBar (1971), but the ""Ladson"" name is older and thus retained (Weems et al 1994). The unit is interpreted as a fluvial/deltaic deposit (Wehmiller et al 1988). Like the Canepatch Frm, the unit is also referred to as unit Q4 (Weems et al 1994; Bowen 2009).",,Equivalent to the upper Talbot terrace of Colquhoun (1974) (Wehmiller et al 1988); considered a Charleston-area equivalent of the Canepatch Frm of Myrtle Beach (Corrado et al 1986; Weems et al 1994; Bowen 2009). ,
South Carolina,Pringletown beds,,2.1,3.1,Weems et al (1994) indicated a late Pliocene and early Pleistocene age; the age cited here was determined via stratigraphic position and based on ages of other units.,Informal unit named by Weems et al (1994) for sediments near Charleston; considered an estuarine to lagoon deposit.,,The unit may underlie the Waccamaw? Frm and overlie the Raysor Frm (Weems et al 1994).,
South Carolina,Wabasso Beds,Undifferentiated,4.3,5.5,Huddlestun (1988); Markewich et al (1992); Campbell and Campbell (1995),"The Wabasso Beds is an informal name applied to lower Pliocene, phosphatic, calcareous, and microfossiliferous, variably argillaceous, silty, fine-grained to very fine grained sand in the subsurface of the coastal area of GA, southern SC, and eastern FL (Huddlestun 1988); Scott (2001) indicated the Wabasso Beds are also in the Peace River Frm in S Florida, but that they do not outcrop at the surface. The Wabasso Beds were treated as formational rank by Krantz (1991), but there seems to be no evidence for this, although Huddlestun (pers comm 2013) would like to see them formalized.",The unit is included within zone PL1 or N-18 (Huddlestun 1988); the unit is considered no older than 5.7 Ma and no younger than 4.2-4.0 Ma (Markewich et al 1992).,The unit is probably time equivalent to the Sunken Meadow Member of the Yorktown Frm in SE VA and NE NC.,"Krantz (1991) indicated the lower Duplin Frm is time equivalent to the Sunken Meadow Member of the Yorktown Frm and Wabasso Beds, but this relationship was not supported in this compilation; here, the Duplin Frm is younger than the Wabasso Beds and the Sunken Meadow Member. "
"South Carolina, Georgia",Parachucla,Undifferentiated,20.2,23.3,"Hunter and Huddlestun 1981, Huddlestun 1982, 1988","Lower member is early N4 (Huddlestun 1973), upper is late N4-early N5","Fig 2 in Hunter and Huddlestun 1980 is biostratigraphic correlation chart between land mammals, bolluscs, and formations, in a log for FL, GA, MD, and NJ. Scott 1988 fig 19 plots SC and GA log sections as equivalent for Coosawhatchee, Marks Head, and Parachucla fms. Mueller et al 1993 dated Parachucla fm in Hamilton County back to 24.4 Ma (with one sample at 19.4) with Sr; a sample from type locality in GA gave 20.2 Ma.",,
"South Carolina, Georgia",Parachucla,Porters Landing,20.2,22,"Hunter and Huddlestun 1982, Huddlestun 1988",called 'upper' prior to Huddlestun 1988,"Fig 2 in Hunter and Huddlestun 1980 is biostratigraphic correlation chart between land mammals, bolluscs, and formations, in a log for FL, GA, MD, and NJ. Scott 1988 fig 19 plots SC and GA log sections as equivalent for Coosawhatchee, Marks Head, and Parachucla fms. Scott 1988 updates the correlation of biozones with chronology, so those dates are used to define ages here. Huddlestun 1988 thought it was N5, and possibly into late N4.",,
"South Carolina, Georgia",Parachucla,Tiger Leap,22,23.3,"Hunter and Huddlestun 1982, Huddlestun 1988",called 'lower' prior to Huddlestun 1988,"Fig 2 in Hunter and Huddlestun 1980 is biostratigraphic correlation chart between land mammals, bolluscs, and formations, in a log for FL, GA, MD, and NJ. Scott 1988 fig 19 plots for log of Coosawhatchee, Marks Head, and Parachucla fms as equivalent between SC and GA. Huddlestun 1988 put the age as N4, 22-23.3 ma.",,
"South Carolina, Georgia, Florida",Coosawhatchee,Undifferentiated,13.3,15,"Scott 1988, Huddlestun 1988",Hawthorn group,"Scott 1988 fig 19 plots log sections for Coosawhatchee, Marks Head, and Parachucla fms as equivalent between SC and GA. Blow zone N10-N11, Early Serravallian, 13.3-15 with an undifferentiated coquina possibly extending past 16 Ma (Huddlestun 1988). Overlies the Marks Head, so oldest possible age is the upper age for that unit. Abbott 1980 put rock dated at 14-15 Ma in N11, and zone N12 as ending by 13.3 Ma which would make that a younger bound. Gibson 1980 plotted N11 as spanning 14.5-15 Ma only.","Coosawhatchie fm correlates with lower portion of Intracoastal Limestone (Schmidt 1984), lower Shoal River fm (FL), and lower part of the Peace River fm (FL) (Scott 1988). ",
"South Carolina, Georgia, Florida",Marks Head,,17.6,18.9,Hunter and Huddlestun 1980; Scott 1998,Hawthorn group,"Blow zone N6 or early N7 (Burdigalian - back to 19 Ma by Scott 1988 but maybe should be 20.4-20.5); Marks Head (GA) correlates with Torreya (FL) and both are older than the Chipola (FL); Marks Head correlates with upper Arcadia but is younger than the Tampa member of that fm in FL, and may correlate with the lower Pungo River in NC (Scott 1988). Huddlestun 1988 agreed that it correlates with Torreya and spans N6 (ca 17.6-18.9 Ma on log); didn't suggest any rock into N7. Hunter and Huddlestun 1980 had put a late age of 16.75 in the log.","Correlate with most of Torreya; zone N6 and into very early N7 (Hunter and Huddlestun 1980). Scott 1988 defined the Marks Head fm to include the middle unit of Hawthorn group (FL). Fig 2 in Hunter and Huddlestun 1980 is biostratigraphic correlation chart between land mammals, bolluscs, and formations, in a log for FL, GA, MD, and NJ. Scott 1988 fig 19 plots log sections for Coosawhatchee, Marks Head, and Parachucla fms as equivalent between SC and GA.",
"South Carolina, North Carolina",Neuse,,0.1,0.2,Wehmiller et al (1988); Wehmiller et al (1995),"Strata of this age are referred to by various names in the region; the Neuse Frm of Fallaw and Wheeler (1969) replaced the Flanner Beach Frm for just the fossiliferous Pleistocene deposits in NC. However, Mixon and Pilkey (1976) indicated Fallaw and Wheeler (1969)'s unit contained many different lithologies and was not used by these authors, with the type section re-defined as the Flanner Beach Frm. Blackwelder (1981b) also included sediments assigned to the Neuse Frm in the Flanner Beach Frm and abandoned the Neuse Frm. Dockal (1996) indicated the name Neuse Frm, which includes the Cape Fear Coquina, has priority over the Socastee Frm and should be in use. The Neuse Frm is still used in publications for sediments in NC, while others refer to these sediments as the Flanner Beach Frm or even the Socastee Frm. ","*Age unclear in spite of years of study (see Muhs et al 2003). Wehmiller et al (1988) using amino acid racemization found an age for Snow Cut material of ~220 Ka or even older, with a further study (Wehmiller et al 1995) indicating an age of ~330-130 Ka. Prosser (1993) performed U-series dating on shell hash at Snows Cut and obtained an age of 62 Ka. Dockal (1996) did radiocarbon evaluation of Snows Cut material and found an age of 29-24 Ka (Dockal 1992, 1995), but these dates are probably too young according to the author, with an actual age closer to 75-55 Ka. Hollin and Hearty (1990) analyzed the Socastee Frm in SC and indicated an age younger than typically assigned, around 80 Ka. Muhs et al (2003) indicate the dates of Hollin and Hearty (1990) would be consistent with aminostratigraphic comparison with the Sea Islands VLPG data.","Correlative with the Great Bridge Frm of SE VA [now Acredale Frm] and with the Socastee Frm of SE NC and NE SC (Miller 1985) [the Acredale Frm, however, appears younger than the Socastee and Flanner Beach Frms, although the age is debated].",
"South Carolina, North Carolina",Socastee,,0.1,0.24,McCartan et al (1982); Wehmiller et al (1988); Wehmiller et al (1995); Soller and Mills (1991),"Strata of this age are referred to by various names in the region; the Neuse Frm of Fallaw and Wheeler (1969) replaced the Flanner Beach Frm for just the fossiliferous Pleistocene deposits in NC. However, Mixon and Pilkey (1976) indicated Fallaw and Wheeler (1969)'s unit contained many different lithologies and was not used by these authors, with the type section re-defined as the Flanner Beach Frm. Blackwelder (1981b) also included sediments assigned to the Neuse Frm in the Flanner Beach Frm and abandoned the Neuse Frm. Dockal (1996) indicated the name Neuse Frm, which includes the Cape Fear Coquina, has priority over the Socastee Frm and should be in use. The Neuse Frm is still used in publications for sediments in NC, while others refer to these sediments as the Flanner Beach Frm or even the Socastee Frm. Dockal (1996) indicated the Neuse Frm has priority over the Socastee Frm and the two units are synonymous, but the ""Socastee"" name is still in use for sediments of this age in SC.","*Age is still fairly unclear in spite of years of study, with part of the problem stemming from different definitions of various units within the region: the Frm is typically assigned an age of ~240-180 Ka (McCartan et al 1982; Wehmiller et al 1988; Soller and Mills 1991), but Hollin and Hearty (1990) indicated the age is younger, dating to late isotope stage 5 (~90-70 Ka), which conforms with what Dockal (1996) found for the age of the Neuse Frm (Cape Fear Coquina) in southern NC, which is thought to be synonymous with the Socastee Frm (~75-55 Ka); Muhs et al (2003) indicated the dates of Hollin and Hearty (1990) would be consistent with aminostratigraphic comparison with the Sea Islands VLPG data. Wehmiller et al (1988) using amino acid racemization found an age for Snow Cut material of ~220 Ka or even older, with a further study (Wehmiller et al 1995) indicating an age of ~330-130 Ka. Prosser (1993) performed U-series dating on shell hash at Snows Cut and obtained an age of 62 Ka. ","Correlated with the Flanner Beach (NC), Norfolk (VA) [now Shirley, Tabb or Acredale Frms] and Omar (DE) Frms (McCartan et al 1982); correlated with the Flanner Beach Frm and with the Shirley Frm and Sedgefield Member of the Tabb Frm (Soller and Mills 1991); correlated with the Flanner Beach Frm (Harris 1996; Dockal 1996; Soller and Mills 1991). In South Carolina specifically, correlative with the Great Bridge Frm of SE VA [now Acredale Frm] and with the Socastee Frm of SE NC and NE SC (Miller 1985) [the Acredale Frm, however, appears younger than the Socastee and Flanner Beach Frms, although the age is debated].",
"South Carolina, North Carolina",Canepatch,,0.3,0.3,Cronin et al (1981); McCartan et al (1982); Szabo (1985),"Named for deposits near Horry County. The unit lies sea-ward of the Penholoway Terrace (Soller and Mills 1991). The Canepatch was restricted to one subsurface locality along the Intracoastal by Owens (1989), and thus was not used by Harris (1996); however, the Frm is still in use by others. Outcrops of the Canepatch are referred to as Q4 or the Talbot Frm by McCartan et al (1984) and Colquhoun (1986) (Soller and Mills 1991); according to Soller and Mills (1991), the unit outcrops in C and S SC; Huddlestun (pers comm 2013) indicated the Canepatch Frm also refers to a terrace deposit and, as such, is not in favor of the name. ","*""In spite of many years of study, serious ambiguities about the relation between racemization, U-series, and stratigraphic interpretations of the Socastee and Canepatch deposits remain unresolved"" (Muhs et al 2003, p. 171). Typically, the age was cited as around the middle Pleistocene (DuBar 1974) or ~ 400 Ka, e.g., McCartan et al (1982) 580-300 Ka, Cronin et al (1981) 450 Ka, Szabo (1985) ~460,000 +/- 100,000 Ka. However, Hollin and Hearty (1990) indicated the older U-series ages are too old, and they found ages matching isotope stage 5e using amino acid ratio correlations. These authors indicated that McCartan et al (1982) lumped DuBar's Socastee and Canepatch Frms together under the name ""Socastee"" and assigned the older ""Canepatch"" to deposits of an older unit. Muhs et al (2003) indicated the dates of Hollin and Hearty (1990) would be consistent with aminostratigraphic comparison with the Sea Islands VLPG data.","The unit unconformably overlies the Bear Bluff or Waccamaw Frms, and unconformably underlies the Socastee Frm (DuBar 1974); the unit is correlative with the Ladson Frm near Charleston; Lyons (1991) indicated that the Ft. Thompson Frm (exclusive of the Coffee Mill Hammock unit) seems to be the only Florida marine depositional unit available for correlation with the Canepatch Frm, which is congruent with this compilation.",
"South Carolina, North Carolina",Waccamaw,Undifferentiated,1.5,2.1,Graybill et al (2009); Badyrka et al (2010); McGregor et al (2011),The Waccamaw is divided into a lower and upper unit by an unconformity (Krantz 1991; Akers 1972; Ward et al 1991; Campbell and Campbell 1995).,See age details for constituent units.,,
"South Carolina, North Carolina",Waccamaw,Upper,1.5,1.7,Graybill et al (2009); Badyrka et al (2010),"The youngest change in polarity (Matuyama Reverse Chron to Brunhes Normal Chron at about 0.78 Ma) occurs between the Waccamaw (Reverse) and Canepatch (Normal) formations near Myrtle Beach, SC (Liddicoat 2012). ","Bybell (1990) indicated an age range of 1.8-1.0 Ma, which is close to that cited here; same for Akers (1972) of 1.6-0.7 Ma, which is younger, and Blackwelder (1981a,b, and unpub data cited within Lyons 1991) of 1.6-1.1 Ma; Campbell (1993) and Campbell and Campbell (1995) indicated an older age for both the lower and upper Waccamaw Frm (2.2-1.9 Ma or 2.4-1.5 Ma for the upper), but this is contrary to the recent dating work done (Graybill et al 2009 and Badryka et al (2010) and not used here.  Mabry and Thayer (2001) indicated a late Pleistocene age of ~130-10 Ka.","The unit underlies the Canepatch Frm, overlies the Bear Bluff Frm, and correlates with the James City Frm (Ward et al 1991; Blackwelder and Ward 1979); correlative with the Caloosahatchee Frm based on faunal similarity (Lyons 1991), Campbell and Campbell (1995) agreed that the upper Waccamaw Frm correlates with the Caloosahatchee Frm; the Waccamaw Frm is correlated with the James City and Caloosahatchee Frms (Allmon et al 1996a); the James City Frm is a correlate (Harris 1996).","Campbell (1992) indicated the unit is laterally equivalent with the Cypresshead Frm, which is not supported in this report, as the Cypresshead is older here."
"South Carolina, North Carolina",Waccamaw,Lower,1.7,2.1,Graybill et al (2009); Badyrka et al (2010); McGregor et al (2011),The Waccamaw is divided into a lower and upper unit by an unconformity (Krantz 1991; Akers 1972; Ward et al 1991; Campbell and Campbell 1995).,"Graybill et al (2009) is listed in support, but these authors found a slightly younger age for the lower Waccamaw Frm of 1.55 Ma, in addition to an age of 2 Ma and 1.8 Ma; Campbell (1993) and Campbell and Campbell (1995) indicated an older age for both the lower and upper Waccamaw Frm (2.5 or 2.4 Ma for the lower), but this is contrary to the recent dating work done and is not used here. Akers (1972) and Krantz (1991) indicated an age of 1.9-1.7 Ma, which is similar to the age cited here. ",The lower Waccamaw Frm is correlated with the Bacons Castle Frm (Krantz 1991).,
"South Carolina, North Carolina",Bear Bluff,,2.1,2.6,McCartan et al (1982); Krantz (1991); Markewich et al (1992); Campbell (1993),"The Bear Bluff Frm of southeastern NC and northeastern SC lies above the Duplin Frm (Markewich et al 1992). Campbell (1992) concluded that the upper Goose Creek Limestone and the type Bear Bluff are the same unit based on faunal and lithological similarity and recommended that the Bear Bluff Frm be abandoned (the authors argued that the unit is actually part of the upper Goose Creek Limestone at the stratotype of the Bear Bluff Frm), but the Bear Bluff Frm is still in use by the USGS. Campbell and Campbell (1995) similarly argued that the Bear Bluff stratotype is pre-Natural Well Duplin Frm in age, which is contrary to other stratigraphic opinions, and is similar to the upper Goose Creek Limestone. Campbell (pers comm 2013) indicated that the name ""Bear Bluff"" has generally been misapplied to faunally and lithologically dissimilar beds that in fact are much younger, after the 2.5 Ma boundary, equivalent to the Chowan River Frm [old Croatan Frm]. L. Campbell (pers comm 2013) indicated that the placement of the Bear Bluff Frm as younger than the Raysor Frm is based on Dubar including the lower Waccamaw Frm aragonitic beds as the datable material in his composite ""Bear Bluff"", and that the unit is actually similar to the upper Goose Creek Limestone and/or Raysor Frm. ","All ages roughly point to about 2.5 Ma, with some minor differences: McCartan et al (1982) cited an age of 2.4-1.8 Ma; Krantz (1991) cited an age of 2.5-1.9 Ma; Campbell (1993) cited an age of 2.5 Ma, and suggested older ages obtained (e.g., 3.7 Ma) were from older sediments like the Goose Creek Limestone; Markewich et al (1992) cited an age of PL5 (roughly equivalent to somewhere within 3.1-2.3 Ma); L. Campbell (pers comm 2013) indicated the Bear Bluff Frm is as old as 3.8 Ma or older and equivalent to the Raysor Frm. ","Correlated with the Chowan River Frm (Ward et al 1991); correlated with the Chowan River Frm and Cypresshead Frm (Krantz 1991) [note that the Cypresshead Frm is older in this compilation, and thus not correlated with the Bear Bluff Frm here]; the Bear Bluff Frm is correlated with the Chowan River Frm and also potentially with the upper Pinecrest Beds of Florida (Allmon et al 1996a); Huddlestun (pers comm 2013) indicated the Bear Bluff Frm is younger than the Citronelle or Cypresshead Frms and not correlated with the Citronelle Frm.","Campbell (1993) indicated the molluscan fauna are younger than that of the Pinecrest Beds but older than that in the Caloosahatchee Frm, however, here the Pinecrest Beds are partially equivalent to the Bear Bluff Frm; Markewich et al (1992) indicated the unit lies above the Duplin Frm and is equivalent to the Cypresshead Frm (GA) and Nashua Frm of NE FL, but while partially time equivalent with the Nashua Frm, the unit is younger than the Cypresshead Frm in this compilation. "
"South Carolina, North Carolina",Duplin ,,3.1,3.3,"Dowsett and Cronin (1990) indicated an age of 3.5-3.0 Ma; Campbell and Campbell (1995) cited an age of 3.2 Ma; Graybill et al (2009) found ages of 2.8, 2.4 and 2.3 Ma; McGregor et al (2011) found ages from 3.57 to 2.88 Ma, with the wide date range reflecting flattening of marine SR curve, time averaging or longer period of deposition; Liddicoat (2012), based on magnetostratigraphy, narrowed the range to the upper Gilbert Chron C2Ar (4.187-3.596 Ma), Mammoth Subchron C2An-2r (3.330-3.207 Ma), or Kaena Subchron C2An-1r (3.116-3.032 Ma). Based on the preceding information, the unit is assigned an age of 3.3-3.2 Ma.","Members of the Yorktown Frm are mapped as far south as the Neuse River in NC, but south of the river they cannot be differentiated and are placed in the Duplin Frm (Ward 2001); Campbell and Campbell (1995) indicated that much confusion exists towards the Duplin Frm; for example, whether the unit should be interpreted narrowly and restricted to the stratotype section, or should be interpreted more broadly and include several transgressive-regressive sequences.",Krantz (1991) cited the lower Duplin Frm as 4.8-3.5 Ma; Campbell and Campbell (1995) indicated Dowsett and Cronin (1990) were dating the Duplin Frm from sites that yielded Raysor Frm index fossils.,"Correlated with the lower Pinecrest Beds, the Raysor Frm, and the Rushmere and Morgarts Beach Members of the Yorktown Frm (Cronin 1991); age equivalent with the Yorktown Frm (Harris 1996); the lower Pinecrest Beds and Jackson Bluff Frm of W Florida are correlated with the Duplin Marl, Raysor Marl, Rushmere and Morgarts Beach Members of the Yorktown Frm (but not the Sunken Meadow Member) (Allmon et al 1996a); the Duplin Frm is slightly above the Raysor Frm (Weems and Lewis 2002); Markewich et al (1992) suggested that in SE GA, the fossils consistent with zone PL3 of Berggren are partially or wholly equivalent to the Duplin and Raysor Frms, to the Rushmere Member of the upper part of the Yorktown Frm in SE VA and NE NC, and to the Jackson Bluff Frm of extreme N Florida; Campbell and Campbell (1995) indicated that the Goose Creek and Raysor Frms are older than the Duplin Frm at the Natural Well stratotype and instead correlates with the middle Pinecrest Beds of Florida. ","Krantz (1991) indicated the lower Duplin Frm is time equivalent with the Sunken Meadow Member of the Yorktown Frm and the Wabasso Beds, but this is not supported in this compilation; here, the Duplin Frm is younger than the Wabasso Beds and the Sunken Meadow Member of the Yorktown Frm. Ward (2008) placed the Duplin and Raysor Frms as correlative with the Yorktown Frm, but with the Yorktown Frm as younger than the Duplin and Raysor Frms; however, in this compilation, the Duplin and Raysor Frms correlate with the upper part of the Yorktown Frm."
St Croix,Blessing,,1.8,4.2,Gill et al 1999,In situ reef,"Coral and foram species place the unit as late Lower Pliocene to the Plio-Pleistocene boundary, not extending into the Pleistocene (Gill et al 1999).",,
St Croix,Kingshill,Undifferentiated,4.2,13.8,Gill et al 1999,Reworked Cretaceous pebbles included,"In well section, the unit extends to 15.5 Ma, but in outcrop the La Reine extends only as old as the G fohsi fohsi (or maybe G peripheroronda) planktonic foram biozones, 13.8-15 Ma.",,
St Croix,Kingshill,Mannings Bay,4.2,5.5,Gill et al 1999,,"Lidz 1982 suggested that deposition coincided with the end-Miocene euastasy (5.5 Ma), but Gill et al (1999) are not confident about that.","Separated from underlying La Reine mbr by an unconformity of unknown duration, possibly short.",
St Croix,Kingshill,La Reine,5.5,13.8,Gill et al 1999,,,,
St Croix,Jealousy,,13.8,16,Gill et al 1999,"Subsurface fm but contains hemipelagic, deepwater marls","Gill et al (1999) cast doubt on previous claims that the unit is as old as Oligocene, suggesting instead an entirely lower Middle Miocene age.",Subadjacent to the Kingshill lmst,
Texas,Bosque,,0,0.0117,,,"An informal name for alluvium and terrace gravel that has not by synonymized, according to Geolex.",,
Texas,Deweyville,,0.005,0.02,Barnes UT Geologic atlas,,"Late Quaternary and early Holocene, younger than Prairie (Geolex, unpublished notes).",,
Texas,Lissie,,0.781,1.8,Doering 1956,Formerly Montgomery and Bentley fms. Doering (1956) proposed correlations of Bentley with Oberlin and Montgomery with Eunice.,"Youngest possible age is the Calabrian-Middle Pleistocene boundary. Middle Pleistocene according to 1990 USGS atlas maps (1990, 1993).","Above Beaumont fm, below Willis fm.",
Texas,Willis,,2.6,3.3,"Doering 1956, Barnes geologic atlas",Includes Hockley Mount mbr,"Doering 1956 thought that the Willis was the TX and LA equivalent to the Cintronelle of AL and MS. Although the Citronelle is now considered Pliocene, Doering stated a Pleistocene age for the Willis, perhaps because Weeks 1945 stated a Pleistocene age (with no stated evidence).",Barnes' group mapped the Willis above the Goliad but below the Lissie.,
Texas,Oakville,Undifferentiated,18,23,"Galloway 1999, Léxico estratigráfico de México",Cretaceous bivalves occur as reworked clasts.,"According to Galloway (1999), Oakville is lower Miocene and perhaps through P22 of upper Oligocene. Barnes' geologic maps for the Geologic atlas of Texas indicate a Miocene age. Correlation places the unit in the middle of the Miocene. The Mexican lexicon reviews foram dates that place the unit as early Late Miocene, or possibly into the Middle Miocene. A Lower Miocene age is given here for Texas, and lower Upper Miocene (Tortonian) age for Mexico.",Overlies Catahoula fm; underlies Fleming fm.,
"Texas, Louisiana",Beaumont,,0.0118,0.781,USGS 1993 map series,,Late Pleistocene; see ages for constituent LA units.,Unconformably overlies Liessie fm,
"Texas, Mexico",Goliad,,3.3,5.6,Barnes 1976 geologic atlas; Galloway 1999,"Reworked invertebrates are Cretaceous. Includes Labahia, Lagarto Creek, and Lapara mbrs.","Early mapping placed the unit as Pliocene. However, Galloway 1999 considered it Miocene. Correlation places the upper bound no younger than Pliocene, perhaps at the Citronelle unconformity (3.3 Ma). The Mexican lexicon agrees with the Pliocene age of Barnes in Mexico and Lopez-Ramos (1979) in Mexico, despite acknowledging the lack of evidence for the latter.","In Texas, the Goliad overlies the Fleming and underlies the Willis and Lissie fms. In Mexico, the Goliad rests on an unconformity over the Mendez fm.",
Trinidad and Tobago,Erin,,0.7,3,"Chen et al 2014, Babb and Mann 1999",,Pleistocene (Chen et al 2014; Flinch et al 1999). Latest Pliocene through lower Pleistocene (Maurasse 1990 plate 5a; Babb and Mann 1999).,"Underlies Cedros, the youngest unit in Trinidad. Overlies Morne L'Enfer (Babb and Mann 1999)",
Trinidad and Tobago,Matura,,0.7,1.75,"Macsotay and Caceres Hernandez 2005, Macsotay 2005, Soto et al 2011",Sometimes referenced as a mbr of Talparo (Van den Bold 1963),Macsotay and Caceres Hernandez 2005 note faunal equivalency to the Early Pleistocene (1750-700 ka) Cumana fm.,Strong affinity to Caparo Clay mbr of Talparo fm. Bounded by unconformities; may underlie Cedros (Maurasse 1990 plate 5a). ,Some suggest late Pliocene. 
Trinidad and Tobago,Talparo,Undifferentiated,0.7,2.5,"Macsotay and Caceres Hernandez 2005, Soto et al 2011, Robertson and Burke 1989, Babb and Mann 1999",,Macsotay and Caceres Hernandez 2005 note faunal equivalency to the Early Pleistocene (1750-700 ka) Cumana fm. Maurasse 1990 plate 5a plots the unit as lower Pleistocene; bounded by unconformities; may underlie Cedros. Babb and Mann suggested late Pliocene (ca 2-3 Ma) for Lower unit and lower Pleistocene for Upper unit.,,
Trinidad and Tobago,Talparo,Caparo,0.7,1.75,"Macsotay and Caceres Hernandez 2005, Soto et al 2011, Robertson and Burke 1989, Babb and Mann 1999",,Macsotay and Caceres Hernandez 2005 note faunal equivalency to the Early Pleistocene (1750-700 ka) Cumana fm. Maurasse 1990 plate 5a plots the unit as lower Pleistocene; bounded by unconformities; may underlie Cedros. Babb and Mann suggested late Pliocene (ca 2-3 Ma) for Lower unit and lower Pleistocene for Upper unit.,,
Trinidad and Tobago,Talparo,Upper,0.7,1.75,"Macsotay and Caceres Hernandez 2005, Soto et al 2011, Robertson and Burke 1989, Babb and Mann 1999",,Macsotay and Caceres Hernandez 2005 note faunal equivalency to the Early Pleistocene (1750-700 ka) Cumana fm. Maurasse 1990 plate 5a plots the unit as lower Pleistocene; bounded by unconformities; may underlie Cedros. Babb and Mann suggested late Pliocene (ca 2-3 Ma) for Lower unit and lower Pleistocene for Upper unit.,,
Trinidad and Tobago,Talparo,Lower,1.8,2.5,"Macsotay and Caceres Hernandez 2005, Soto et al 2011, Robertson and Burke 1989, Babb and Mann 1999",,Macsotay and Caceres Hernandez 2005 note faunal equivalency to the Early Pleistocene (1750-700 ka) Cumana fm. Maurasse 1990 plate 5a plots the unit as lower Pleistocene; bounded by unconformities; may underlie Cedros. Babb and Mann suggested late Pliocene (ca 2-3 Ma) for Lower unit and lower Pleistocene for Upper unit.,,
Trinidad and Tobago,Mayaro,,2.58,3.6,Maurasse 1990,Includes Lawai Clay,"Lower Piacenzian, under Palmiste (unconformably) according to Maurasse 1990 plate 5a, but see disagreement over Palmiste age.","Lawai clay is basal member of Mayaro fm, under Mayaro clay; it overlies the Moruga fm Gros Morne unit.",
Trinidad and Tobago,Morne L'Enfer,,2.58,3.6,Chen et al 2014,,"Flinch et al 1999 had placed the Morne L'Enfer with the Erin in the Pleistocene. However, Chen et al (2014) review work for the unit and cite consus for a Late Pliocene age; they specify the duration as 1.5-2.0 Ma.",,
Trinidad and Tobago,Palmiste,,2.58,3.6,"Erlich et al 1993, Maurasse 1990, van den Bold 1963",,"Early Pliocene (Erlich et al 1993; van den Bold 1963). Latest Pliocene, upper Piacenzian (Maurrasse 1990 plate 5a). Laterally equivalent to lower Forest (van den Bold 1963).",,
Trinidad and Tobago,Springvale,,2.58,3.6,"Jung 1969, Soto et al 2011, Robertson and Burke 1989, Babb and Mann 1999",Includes the Melajo Clay and Savaneta mbrs,"Fm is Early Pliocene in Trinidad and Tobago according to Jung 1969 and Soto et al 2011, but plotted as entire Pliocene in Maurasse 1990 plate 5a. Landau et al 2008 review the change in assignment from Miocene to Pliocene for this and other Colombian-Venezuelan-Trinidad Subprovince units. Macsotay and Vivas 1998 and Macsotay 2005 trust the Late Pliocene age of Carr-Brown and Frampton 1979, and provide a faunal list to support that interpretation. Babb and Mann 1999 place as mid Pliocene, but based on the different ages for the Pliocene at the time of writing, this agrees with the current definition of Piacenzian.",,
Trinidad and Tobago,Forest,,3.6,4.5,Chen et al 2014,,"Early Pliocene (Chen et al 2014). Does not extend all the way back to the Mio-Pliocene boundary according to Maurasse 1990 5a; 4.5 looks reasonable although it is difficult to read an exact date for the contact with the Forest below. This agrees with Babb and Mann 199, who plot the unit in simplified log section between base of Morne L'Enfer (very approximately 4 Ma) and top of Cruse (5.2 Ma).",,
Trinidad and Tobago,Gros Morne,,3.6,5.33,Chen et al 2014,,Early Pliocene,,
Trinidad and Tobago,Manzanilla,,3.6,5.5,"Woodring 1973, Robertsona nd Burke 1989",Includes Montserat and San Jose mbrs,"Mainly Pliocene, extending back to latest Miocene, according to Flinch et al (1999). They noted that it rests above La Pica, for which di Croce et al (1999) sequence stratigraphy places an upper bound at 5.5 Ma. However, Babb and Mann 1999 plot the unit as lower Pliocene (below the Springvale, ca 4 Ma) back through Late Miocene (stated as 10.2 Ma).",,
Trinidad and Tobago,Moruga,,3.6,5.5,Van den Bold 1963,Includes Trinity Hill mbr,,,
Trinidad and Tobago,Cunapo,,4,5.5,"Soto et al 2011, Flinch et al 1999, Babb and Mann 1999",,"Soto et al 2011 suggested a Middle Miocene to Middle Pliocene age in their review of Trinidad formations. However, Flinch et al 1999 place the Cunapo as almost enitrely Pliocene (extending from latest Miocene to earliest Pleistocene). Babb and Mann 1999 place the Cunapo from the Middle-Late Miocene boundary (10.2 Ma) to the base of the Springvale (somewhere around 4 Ma), a wedge that becomes scarcer towards the top.","Coeval with Mio-Pliocene Manzanilla and Springvale, and Talparo, and maybe with Tamana; deposited at onset of strike-slip along El Pilar fault (Babb and Mann 1999).",
